titles,durations,Link
4 2 Risk neutral pricing   Part 1,22mins,https://www.youtube.com/watch?v=6feKMBADptE
4 3 Risk neutral pricing   Part 2,13mins,https://www.youtube.com/watch?v=bc642xwy0Y8
4 4 Risk neutral pricing   Part 3,8mins,https://www.youtube.com/watch?v=6JqtSa1vqzs
4 5 Fundamental theorems of asset pricing   Part 1,8mins,https://www.youtube.com/watch?v=s0Hh182NvWM
4 6 Fundamental theorems of asset pricing   Part 2,16mins,https://www.youtube.com/watch?v=xDO4kRYQ4UE
4 7 Binomial tree pricing   Part 1,19mins,https://www.youtube.com/watch?v=iVNuO6mmPuA
4 8 Binomial tree pricing   Part 2,16mins,https://www.youtube.com/watch?v=45BDDywaxL0
5 1 Brownian motion process   Part 1,9mins,https://www.youtube.com/watch?v=DrtkkWfeMPE
5 2 Brownian motion process   Part 2,18mins,https://www.youtube.com/watch?v=qoJEpUHJzi8
5 3 Stochastic integral   Part 1,11mins,https://www.youtube.com/watch?v=xu-PfROF3C8
5 4 Stochastic integral   Part 2,13mins,https://www.youtube.com/watch?v=si4pRUFCHo4
"5 5 Ito s Rule, Ito s Lemma   Part 1",18mins,https://www.youtube.com/watch?v=mAOtobJ7Ats
"5 6 Ito s Rule, Ito s Lemma   Part 2",21mins,https://www.youtube.com/watch?v=YJlplLxzh1c
6 1 Black Scholes Merton pricing   Part 1,14mins,https://www.youtube.com/watch?v=jnsh7xYpJTc
6 2 Black Scholes Merton pricing   Part 2,14mins,https://www.youtube.com/watch?v=lji5z0YJ_ZY
6 3 Black Scholes Merton pricing   Part 3,10mins,https://www.youtube.com/watch?v=jALuBGWRVy8
6 4 Risk neutral pricing   Black Scholes Merton model   Part 1,17mins,https://www.youtube.com/watch?v=7NOX2kdKfyA
6 5 Risk neutral pricing   Black Scholes Merton model   Part  2,14mins,https://www.youtube.com/watch?v=u2aiPSASMNQ
6 6 Black Scholes Merton pricing   Part 3,13mins,https://www.youtube.com/watch?v=1whZLVlXNWU
7 1 Variations on Black Scholes Merton   Part 1,14mins,https://www.youtube.com/watch?v=j5fAZNc7FpU
7 2 Variations on Black Scholes Merton   Part 2,5mins,https://www.youtube.com/watch?v=j8TbtdHiNC4
7 3 Currency options   Part 1,10mins,https://www.youtube.com/watch?v=Xu77dfWy6rc
7 4 Currency options   Part 2,17mins,https://www.youtube.com/watch?v=xGBynU7dnVI
7 5 Exotic options   Part 1,11mins,https://www.youtube.com/watch?v=ZWOKePY8i7M
7 6 Exotic options   Part 2,14mins,https://www.youtube.com/watch?v=OQp6Qsrwyzo
7 7 Pricing options on more underlyings   Part 1,11mins,https://www.youtube.com/watch?v=QXw2M6uzKuo
7 8 Pricing options on more underlyings   Part 2,11mins,https://www.youtube.com/watch?v=LLypf8UC0EU
8 1 Stochastic Volatility   Part 1,12mins,https://www.youtube.com/watch?v=2H3Dtcrlx4E
8 2 Stochastic Volatility   Part 2,20mins,https://www.youtube.com/watch?v=TUc5OmmvIuw
8 3 Stochastic Volatility   Part 3,10mins,https://www.youtube.com/watch?v=cFgA7Bz8eMg
8 4 Jump diffusion models,11mins,https://www.youtube.com/watch?v=ZVHnSthFFUI
9 1 Static hedging with futures   Part 1,15mins,https://www.youtube.com/watch?v=J5SH4bjk15M
9 2 Static hedging with futures   Part 2,13mins,https://www.youtube.com/watch?v=IaPkhV7gPtU
9 3 Static hedging with bonds,11mins,https://www.youtube.com/watch?v=11GiCz5Lc8Q
9 4 Perfect hedging   replication   Part 1,13mins,https://www.youtube.com/watch?v=IwWEywlKGcg
9 5 Perfect hedging   replication   Part 2,14mins,https://www.youtube.com/watch?v=YNEQDFALdMk
9 6 Hedging portfolio sensitivities   Part 1,16mins,https://www.youtube.com/watch?v=vMPFGaH8hZ4
9 7 Hedging portfolio sensitivities   Part 2,7mins,https://www.youtube.com/watch?v=wNktQ3SMFUA
9 8 Hedging portfolio sensitivities   Part 3,17mins,https://www.youtube.com/watch?v=qz-h8YUwwvk
10 1 Introduction to interest rate models   Part 1,12mins,https://www.youtube.com/watch?v=hxMF3UW_WRs
10 2 Introduction to interest rate models   Part 2,8mins,https://www.youtube.com/watch?v=9dtAzt8sb1w
10 3 Continuous time interest rate models   Part 1,5mins,https://www.youtube.com/watch?v=QHH8p_o2BcU
10 4 Continuous time interest rate models   Part 2,9mins,https://www.youtube.com/watch?v=L53dzqFIyEI
10 5 Continuous time interest rate models   Part 3,13mins,https://www.youtube.com/watch?v=mgufKez1IVM
10 6 Continuous time interest rate models   Part 4,14mins,https://www.youtube.com/watch?v=6qvNolhfeFM
10 7 Forward rates models   Part 1,15mins,https://www.youtube.com/watch?v=Z-YdaInnqeI
10 8 Forward rates models   Part 2,12mins,https://www.youtube.com/watch?v=Ve2PqQs4RLM
10 9 Forward rates models   Part 3,12mins,https://www.youtube.com/watch?v=DnwAFehmNNI
10 10 Forward rates models   Part 4,9mins,https://www.youtube.com/watch?v=9kGB4WmSyro
10 11 Change of numeraire method   Part 1,17mins,https://www.youtube.com/watch?v=OwWC8g4S94A
10 12 Change of numeraire method   Part 2,12mins,https://www.youtube.com/watch?v=KU-Cuyak4Z8
10 13 Introduction to credit risk models   Part 1,15mins,https://www.youtube.com/watch?v=fXWhkJQ_88I
10 14 Introduction to credit risk models   Part 2,14mins,https://www.youtube.com/watch?v=UuYgrxqGnFw
